question,intent,clean_question,label
Inspect profit by year.,yearly_profit,inspect profit by year,31
Please compare sales across categories.,sales_by_category,please compare sales across categories,20
Show insights for worst profit product.,lowest_profit_product,show insights for worst profit product,13
Give complete stock overview,inventory_summary,give complete stock overview,12
I'd like the highest performing region.,best_region,id like the highest performing region,2
Reveal the average business profit.,average_profit,reveal the average business profit,0
Can I see the order count?,order_count,can i see the order count,16
Kindly tell me the mean profit.,average_profit,kindly tell me the mean profit,0
Give detailed top selling states.,top_states,give detailed top selling states,27
Give all inventory summary,inventory_summary,give all inventory summary,12
Reveal complete top 10 customers,top_customers,reveal complete top 10 customers,26
Tell me the sales across subcategories.,sales_by_subcategory,tell me the sales across subcategories,22
Provide complete worst performing states,bottom_states,provide complete worst performing states,6
Can you give profit average?,average_profit,can you give profit average,0
Can you provide the shipping analysis?,shipping_analysis,can you provide the shipping analysis,24
Provide category performance.,sales_by_category,provide category performance,20
Summarize top cities.,top_cities,summarize top cities,25
How much is the sales by category?,sales_by_category,how much is the sales by category,20
Find the most valuable customers.,top_customers,find the most valuable customers,26
Present top cities.,top_cities,present top cities,25
Provide executive summary.,dashboard_summary,provide executive summary,9
Display all average turnover,average_sales,display all average turnover,1
Summarize highest sales cities.,top_cities,summarize highest sales cities,25
View the mean profit.,average_profit,view the mean profit,0
What is the shipping mode?,shipping_analysis,what is the shipping mode,24
Please calculate segment wise sales.,sales_by_segment,please calculate segment wise sales,21
Show the regional profit,region_profit,show the regional profit,19
View complete average income,average_sales,view complete average income,1
Can you find profit by region?,region_profit,can you find profit by region,19
Give complete company profit.,total_profit,give complete company profit,28
Display latest top customers.,top_customers,display latest top customers,26
Analyze all sales by segment,sales_by_segment,analyze all sales by segment,21
Can you provide the most profitable product?,highest_profit_product,can you provide the most profitable product,11
I need the sales trend.,sales_growth,i need the sales trend,23
Analyze the profit growth.,profit_growth,analyze the profit growth,17
Fetch the number of orders.,order_count,fetch the number of orders,16
Display overall growth in profit,profit_growth,display overall growth in profit,17
Fetch monthly sales.,monthly_sales,fetch monthly sales,15
Display product quantities.,quantity_analysis,display product quantities,18
Find worst products.,bottom_products,find worst products,5
I want dashboard summary.,dashboard_summary,i want dashboard summary,9
Can you find category profit?,category_profit,can you find category profit,7
Show complete profit average.,average_profit,show complete profit average,0
Find all best customers,top_customers,find all best customers,26
Compare all sales by subcategory,sales_by_subcategory,compare all sales by subcategory,22
Could you give the sales by category?,sales_by_category,could you give the sales by category,20
Give detailed segment wise sales.,sales_by_segment,give detailed segment wise sales,21
Can you find total customer orders?,order_count,can you find total customer orders,16
Create a report for average revenue.,average_sales,create a report for average revenue,1
Please analyze profit increase.,profit_growth,please analyze profit increase,17
Can you find the bottom 10 products?,bottom_products,can you find the bottom 10 products,5
Can you show month wise profit?,monthly_profit,can you show month wise profit,14
Can you compare category wise profit?,category_profit,can you compare category wise profit,7
Please calculate the most valuable customers.,top_customers,please calculate the most valuable customers,26
Calculate all registered customers,customer_count,calculate all registered customers,8
Could you display the monthly business sales?,monthly_sales,could you display the monthly business sales,15
Analyze all segment sales,sales_by_segment,analyze all segment sales,21
Can you display lowest earning product?,lowest_profit_product,can you display lowest earning product,13
I would like best performing states.,top_states,i would like best performing states,27
Tell me regional profit.,region_profit,tell me regional profit,19
Show number of customers,customer_count,show number of customers,8
Can you show subcategory performance?,sales_by_subcategory,can you show subcategory performance,22
Provide detailed best customers.,top_customers,provide detailed best customers,26
Fetch the sales across subcategories.,sales_by_subcategory,fetch the sales across subcategories,22
Provide the most valuable customers.,top_customers,provide the most valuable customers,26
Provide the best cities.,top_cities,provide the best cities,25
Give me registered customers.,customer_count,give me registered customers,8
Display the best sales region.,best_region,display the best sales region,2
How much is shipping mode?,shipping_analysis,how much is shipping mode,24
Provide lowest performing region.,worst_region,provide lowest performing region,30
Give detailed average net profit.,average_profit,give detailed average net profit,0
What is business overview?,dashboard_summary,what is business overview,9
Could you provide the monthly earnings?,monthly_profit,could you provide the monthly earnings,14
What is sales by month?,monthly_sales,what is sales by month,15
Please display sales by subcategory.,sales_by_subcategory,please display sales by subcategory,22
Reveal complete average income,average_sales,reveal complete average income,1
Display all ship mode analysis,shipping_analysis,display all ship mode analysis,24
Reveal the dashboard summary.,dashboard_summary,reveal the dashboard summary,9
Provide number of orders.,order_count,provide number of orders,16
How much is the business growth?,sales_growth,how much is the business growth,23
Summarize the profit by year.,yearly_profit,summarize the profit by year,31
Give overall lowest selling products,bottom_products,give overall lowest selling products,5
Calculate complete yearly profit,yearly_profit,calculate complete yearly profit,31
Can you provide the lowest sales region?,worst_region,can you provide the lowest sales region,30
Generate the overall customers.,customer_count,generate the overall customers,8
Find overall sales.,total_sales,find overall sales,29
Can you analyze the region profit performance?,region_profit,can you analyze the region profit performance,19
Show me the profit by year.,yearly_profit,show me the profit by year,31
Can you find the grand total profit?,total_profit,can you find the grand total profit,28
Fetch the stock summary.,inventory_summary,fetch the stock summary,12
Reveal all year wise sales,yearly_sales,reveal all year wise sales,32
Display complete average income.,average_profit,display complete average income,0
Please display customer count.,customer_count,please display customer count,8
Please create executive summary.,dashboard_summary,please create executive summary,9
I'd like to know the overall revenue.,total_sales,id like to know the overall revenue,29
Find sales by category.,sales_by_category,find sales by category,20
Reveal the delivery performance.,shipping_analysis,reveal the delivery performance,24
Please reveal average gross profit.,average_profit,please reveal average gross profit,0
Could you reveal the top customers?,top_customers,could you reveal the top customers,26
Can you list highest spending customers?,top_customers,can you list highest spending customers,26
Can you compare the sales by subcategory?,sales_by_subcategory,can you compare the sales by subcategory,22
Generate the monthly sales.,monthly_sales,generate the monthly sales,15
Tell me all average gross profit,average_profit,tell me all average gross profit,0
Please display the lowest sales states.,bottom_states,please display the lowest sales states,6
Kindly provide the sales increase.,sales_growth,kindly provide the sales increase,23
Can you give stock overview?,inventory_summary,can you give stock overview,12
I need the annual revenue.,yearly_sales,i need the annual revenue,32
Explain the discount percentage.,discount_analysis,explain the discount percentage,10
Calculate annual profit,yearly_profit,calculate annual profit,31
Analyze performance of shipping mode.,shipping_analysis,analyze performance of shipping mode,24
Please display region profit performance.,region_profit,please display region profit performance,19
Analyze performance of sales trend.,sales_growth,analyze performance of sales trend,23
Provide all highest sales cities,top_cities,provide all highest sales cities,25
Please give sales for each category.,sales_by_category,please give sales for each category,20
Kindly show the lowest profit product.,lowest_profit_product,kindly show the lowest profit product,13
Give detailed total quantity.,quantity_analysis,give detailed total quantity,18
Can you provide the monthly earnings?,monthly_profit,can you provide the monthly earnings,14
Tell me region profit performance.,region_profit,tell me region profit performance,19
Kindly show the region wise profit.,region_profit,kindly show the region wise profit,19
I'd like to know the bottom 10 products.,bottom_products,id like to know the bottom 10 products,5
Provide complete mean profit,average_profit,provide complete mean profit,0
Can you analyze the sales trend?,sales_growth,can you analyze the sales trend,23
I want bottom products.,bottom_products,i want bottom products,5
Show complete annual sales.,yearly_sales,show complete annual sales,32
Kindly view the average profit.,average_profit,kindly view the average profit,0
Can you reveal the average turnover?,average_sales,can you reveal the average turnover,1
Show the stock summary,inventory_summary,show the stock summary,12
Visualize overall sales.,total_sales,visualize overall sales,29
Show latest least selling products.,bottom_products,show latest least selling products,5
View inventory overview.,inventory_summary,view inventory overview,12
Could you list the best customers?,top_customers,could you list the best customers,26
Show insights for overall dashboard.,dashboard_summary,show insights for overall dashboard,9
Compute complete average business profit,average_profit,compute complete average business profit,0
Give complete customer segment sales.,sales_by_segment,give complete customer segment sales,21
I want the discount analysis.,discount_analysis,i want the discount analysis,10
Give overall total revenue,total_sales,give overall total revenue,29
Reveal overall worst performing states,bottom_states,reveal overall worst performing states,6
Can you list least selling products?,bottom_products,can you list least selling products,5
Reveal complete worst region,worst_region,reveal complete worst region,30
Give complete overall sales.,total_sales,give complete overall sales,29
Generate a report for top selling states.,top_states,generate a report for top selling states,27
Inspect profit by category.,category_profit,inspect profit by category,7
I need the worst performing states.,bottom_states,i need the worst performing states,6
Calculate annual revenue,yearly_sales,calculate annual revenue,32
Generate a report for best customers.,top_customers,generate a report for best customers,26
Provide the customer segment sales,sales_by_segment,provide the customer segment sales,21
Show me the annual profit.,yearly_profit,show me the annual profit,31
Show all category wise sales,sales_by_category,show all category wise sales,20
What is the sales increase?,sales_growth,what is the sales increase,23
Compute the average business profit,average_profit,compute the average business profit,0
Display latest worst performing cities.,bottom_cities,display latest worst performing cities,3
Can you show the lowest profit product?,lowest_profit_product,can you show the lowest profit product,13
Calculate all monthly revenue,monthly_sales,calculate all monthly revenue,15
Please display the worst performing cities.,bottom_cities,please display the worst performing cities,3
Provide the overall revenue,total_sales,provide the overall revenue,29
Find complete sales across subcategories,sales_by_subcategory,find complete sales across subcategories,22
Can you find business profit?,total_profit,can you find business profit,28
Can I see the worst region?,worst_region,can i see the worst region,30
Show the highest profit product,highest_profit_product,show the highest profit product,11
I would like business profit.,total_profit,i would like business profit,28
Plot grand total sales.,total_sales,plot grand total sales,29
How much is the number of customers?,customer_count,how much is the number of customers,8
Kindly find the average business profit.,average_profit,kindly find the average business profit,0
Fetch the sales by month.,monthly_sales,fetch the sales by month,15
Provide the best cities,top_cities,provide the best cities,25
Provide detailed segment wise sales.,sales_by_segment,provide detailed segment wise sales,21
What is shipping analysis?,shipping_analysis,what is shipping analysis,24
Provide overall sales across subcategories,sales_by_subcategory,provide overall sales across subcategories,22
Kindly show the bottom states.,bottom_states,kindly show the bottom states,6
Display sales across subcategories,sales_by_subcategory,display sales across subcategories,22
Show complete sales increase.,sales_growth,show complete sales increase,23
Display the top selling cities,top_cities,display the top selling cities,25
Display inventory summary.,inventory_summary,display inventory summary,12
Display the highest spending customers.,top_customers,display the highest spending customers,26
Explain sales quantity.,quantity_analysis,explain sales quantity,18
Find lowest sales region.,worst_region,find lowest sales region,30
Show insights for business profit.,total_profit,show insights for business profit,28
Reveal the subcategory wise sales.,sales_by_subcategory,reveal the subcategory wise sales,22
Compute all net profit,total_profit,compute all net profit,28
Can I see best cities?,top_cities,can i see best cities,25
I'd like to know profit across categories.,category_profit,id like to know profit across categories,7
Kindly display the worst performing cities.,bottom_cities,kindly display the worst performing cities,3
How much is the average income?,average_profit,how much is the average income,0
Kindly give the least selling products.,bottom_products,kindly give the least selling products,5
I need the highest profit product.,highest_profit_product,i need the highest profit product,11
Analyze the overall discount.,discount_analysis,analyze the overall discount,10
What is business sales?,total_sales,what is business sales,29
Analyze profit by month,monthly_profit,analyze profit by month,14
Give detailed subcategory performance.,sales_by_subcategory,give detailed subcategory performance,22
Plot total revenue.,total_sales,plot total revenue,29
Provide the city performance.,top_cities,provide the city performance,25
Display complete inventory summary.,inventory_summary,display complete inventory summary,12
Tell me quantity analysis.,quantity_analysis,tell me quantity analysis,18
Review best cities.,top_cities,review best cities,25
Find all profit by category,category_profit,find all profit by category,7
Analyze the city performance.,top_cities,analyze the city performance,25
Present the year wise sales.,yearly_sales,present the year wise sales,32
Please provide sales for each category.,sales_by_category,please provide sales for each category,20
Show insights for lowest spending customers.,bottom_customers,show insights for lowest spending customers,4
How much is the top states?,top_states,how much is the top states,27
Analyze the profit by region.,region_profit,analyze the profit by region,19
Can I see city performance?,bottom_cities,can i see city performance,3
Kindly calculate the sales by year.,yearly_sales,kindly calculate the sales by year,32
Can you find the profit growth?,profit_growth,can you find the profit growth,17
Plot stock summary.,inventory_summary,plot stock summary,12
Calculate overall total quantity,quantity_analysis,calculate overall total quantity,18
Analyze grand total sales.,total_sales,analyze grand total sales,29
Could you display the overall discount?,discount_analysis,could you display the overall discount,10
Can you reveal the yearly sales?,yearly_sales,can you reveal the yearly sales,32
Can you show the sales for each category?,sales_by_category,can you show the sales for each category,20
Kindly tell me the overall sales.,total_sales,kindly tell me the overall sales,29
Can you give category sales?,sales_by_category,can you give category sales,20
I'd like to know the inventory summary.,inventory_summary,id like to know the inventory summary,12
Give the total profit,total_profit,give the total profit,28
I'd like to know the monthly business profit.,monthly_profit,id like to know the monthly business profit,14
View average earnings,average_profit,view average earnings,0
Can you show sales by segment?,sales_by_segment,can you show sales by segment,21
Show complete overall customers.,customer_count,show complete overall customers,8
Provide complete average business profit,average_profit,provide complete average business profit,0
View least valuable customers.,bottom_customers,view least valuable customers,4
Display overall top states,top_states,display overall top states,27
Display all sales across categories,sales_by_category,display all sales across categories,20
Plot yearly profit.,yearly_profit,plot yearly profit,31
Give me the sales across subcategories.,sales_by_subcategory,give me the sales across subcategories,22
Display all sales by year,yearly_sales,display all sales by year,32
What is the subcategory sales?,sales_by_subcategory,what is the subcategory sales,22
Fetch the discount percentage.,discount_analysis,fetch the discount percentage,10
Fetch annual earnings.,yearly_profit,fetch annual earnings,31
Summarize the quantity analysis.,quantity_analysis,summarize the quantity analysis,18
Kindly analyze the shipping mode.,shipping_analysis,kindly analyze the shipping mode,24
Can you display average income?,average_profit,can you display average income,0
Analyze the sales across subcategories,sales_by_subcategory,analyze the sales across subcategories,22
Show me shipping performance.,shipping_analysis,show me shipping performance,24
Please provide net profit.,total_profit,please provide net profit,28
Could you compute the net profit?,total_profit,could you compute the net profit,28
Kindly find the average gross profit.,average_profit,kindly find the average gross profit,0
Show complete monthly revenue,monthly_sales,show complete monthly revenue,15
Show bottom states,bottom_states,show bottom states,6
Review stock overview.,inventory_summary,review stock overview,12
Summarize the region wise profit.,region_profit,summarize the region wise profit,19
Analyze performance of monthly profit.,monthly_profit,analyze performance of monthly profit,14
I need the grand total profit.,total_profit,i need the grand total profit,28
Could you display the overall dashboard?,dashboard_summary,could you display the overall dashboard,9
Can you reveal average earnings?,average_profit,can you reveal average earnings,0
Show me the lowest sales states.,bottom_states,show me the lowest sales states,6
Kindly show the average income.,average_sales,kindly show the average income,1
Present the category profit.,category_profit,present the category profit,7
Find all shipping mode,shipping_analysis,find all shipping mode,24
Display overall overall discount,discount_analysis,display overall overall discount,10
Find category wise sales,sales_by_category,find category wise sales,20
Provide all annual earnings,yearly_profit,provide all annual earnings,31
Compare company profit.,total_profit,compare company profit,28
Please analyze total quantity.,quantity_analysis,please analyze total quantity,18
Provide the total customers.,customer_count,provide the total customers,8
Kindly show the regional profit.,region_profit,kindly show the regional profit,19
Provide the shipping performance.,shipping_analysis,provide the shipping performance,24
Provide complete annual earnings,yearly_profit,provide complete annual earnings,31
Present region wise profit.,region_profit,present region wise profit,19
Find overall total orders,order_count,find overall total orders,16
Give me the average gross profit.,average_profit,give me the average gross profit,0
Can you tell me the average income?,average_profit,can you tell me the average income,0
How much is the profit average?,average_profit,how much is the profit average,0
Please provide shipping performance.,shipping_analysis,please provide shipping performance,24
Please reveal month wise profit.,monthly_profit,please reveal month wise profit,14
Please reveal best performing states.,top_states,please reveal best performing states,27
Show me the lowest sales region.,worst_region,show me the lowest sales region,30
Please find bottom 10 products.,bottom_products,please find bottom 10 products,5
I need worst performing cities.,bottom_cities,i need worst performing cities,3
Reveal complete average sales,average_sales,reveal complete average sales,1
Could you analyze the sales by segment?,sales_by_segment,could you analyze the sales by segment,21
Analyze the overall discount,discount_analysis,analyze the overall discount,10
Calculate complete annual earnings,yearly_profit,calculate complete annual earnings,31
Display ship mode analysis.,shipping_analysis,display ship mode analysis,24
Provide all month wise sales,monthly_sales,provide all month wise sales,15
Explain category sales.,sales_by_category,explain category sales,20
Display latest business profit.,total_profit,display latest business profit,28
Can you display the yearly profit?,yearly_profit,can you display the yearly profit,31
Can you find the total profit?,total_profit,can you find the total profit,28
Calculate average earnings,average_profit,calculate average earnings,0
Show the top selling cities,top_cities,show the top selling cities,25
Can you find the profit increase?,profit_growth,can you find the profit increase,17
Display all sales by segment,sales_by_segment,display all sales by segment,21
Analyze the top selling states.,top_states,analyze the top selling states,27
Generate a report for segment wise sales.,sales_by_segment,generate a report for segment wise sales,21
Present shipping mode.,shipping_analysis,present shipping mode,24
Display complete month wise sales.,monthly_sales,display complete month wise sales,15
Tell me overall overall revenue,total_sales,tell me overall overall revenue,29
Give me dashboard summary.,dashboard_summary,give me dashboard summary,9
Show complete lowest sales region,worst_region,show complete lowest sales region,30
Kindly find the subcategory sales.,sales_by_subcategory,kindly find the subcategory sales,22
Summarize quantity analysis.,quantity_analysis,summarize quantity analysis,18
Display category wise profit.,category_profit,display category wise profit,7
Can you give segment performance?,sales_by_segment,can you give segment performance,21
What is the total profit?,total_profit,what is the total profit,28
Give detailed sales by year.,yearly_sales,give detailed sales by year,32
Give detailed monthly earnings.,monthly_profit,give detailed monthly earnings,14
Give complete average sales amount.,average_sales,give complete average sales amount,1
Provide least profitable region,worst_region,provide least profitable region,30
Analyze complete overall discount,discount_analysis,analyze complete overall discount,10
Show overall product quantities,quantity_analysis,show overall product quantities,18
Can you provide the total customers?,customer_count,can you provide the total customers,8
Show complete premium customers,top_customers,show complete premium customers,26
Can I see the top states?,top_states,can i see the top states,27
Inspect best sales region.,best_region,inspect best sales region,2
Compare lowest spending customers.,bottom_customers,compare lowest spending customers,4
Please compare profit by category.,category_profit,please compare profit by category,7
Provide the top profit product,highest_profit_product,provide the top profit product,11
Can I see the sales quantity?,quantity_analysis,can i see the sales quantity,18
Could you give the best customers?,top_customers,could you give the best customers,26
Create a report for sales by segment.,sales_by_segment,create a report for sales by segment,21
I need worst products.,bottom_products,i need worst products,5
Show insights for best customers.,top_customers,show insights for best customers,26
View the profit trend.,profit_growth,view the profit trend,17
I'd like the top selling states.,top_states,id like the top selling states,27
Compute the overall profit,total_profit,compute the overall profit,28
Give complete registered customers.,customer_count,give complete registered customers,8
Please give category wise sales.,sales_by_category,please give category wise sales,20
Show highest sales states,top_states,show highest sales states,27
Generate a report for least popular products.,bottom_products,generate a report for least popular products,5
Show all category profit,category_profit,show all category profit,7
Give detailed subcategory wise sales.,sales_by_subcategory,give detailed subcategory wise sales,22
Could you tell me the average business profit?,average_profit,could you tell me the average business profit,0
Could you identify the bottom customers?,bottom_customers,could you identify the bottom customers,4
Show insights for sales increase.,sales_growth,show insights for sales increase,23
Kindly identify the inactive customers.,bottom_customers,kindly identify the inactive customers,4
View total profit,total_profit,view total profit,28
I want the overall dashboard.,dashboard_summary,i want the overall dashboard,9
Kindly compare the sales across subcategories.,sales_by_subcategory,kindly compare the sales across subcategories,22
Show insights for subcategory performance.,sales_by_subcategory,show insights for subcategory performance,22
Find all highest profit product,highest_profit_product,find all highest profit product,11
Analyze performance of sales across subcategories.,sales_by_subcategory,analyze performance of sales across subcategories,22
I want least profitable region.,worst_region,i want least profitable region,30
Provide complete profit average,average_profit,provide complete profit average,0
Fetch best performing states.,top_states,fetch best performing states,27
I want sales by year.,yearly_sales,i want sales by year,32
Find complete least selling products,bottom_products,find complete least selling products,5
Identify complete most profitable product,highest_profit_product,identify complete most profitable product,11
Please display the month wise sales.,monthly_sales,please display the month wise sales,15
Show all profit by region,region_profit,show all profit by region,19
Display the profit growth,profit_growth,display the profit growth,17
I'd like to know the business growth.,sales_growth,id like to know the business growth,23
Reveal complete subcategory performance,sales_by_subcategory,reveal complete subcategory performance,22
Analyze complete year wise profit,yearly_profit,analyze complete year wise profit,31
Find the category wise sales.,sales_by_category,find the category wise sales,20
Explain the discount offered.,discount_analysis,explain the discount offered,10
Could you generate the executive summary?,dashboard_summary,could you generate the executive summary,9
Provide all profit increase,profit_growth,provide all profit increase,17
Give me the least valuable customers.,bottom_customers,give me the least valuable customers,4
I would like bottom states.,bottom_states,i would like bottom states,6
Can you identify least valuable customers?,bottom_customers,can you identify least valuable customers,4
Display annual sales,yearly_sales,display annual sales,32
Show insights for annual earnings.,yearly_profit,show insights for annual earnings,31
Provide annual profit,yearly_profit,provide annual profit,31
Find overall category performance,sales_by_category,find overall category performance,20
Provide grand total profit.,total_profit,provide grand total profit,28
Provide most profitable product.,highest_profit_product,provide most profitable product,11
Find overall most profitable region,best_region,find overall most profitable region,2
Display complete bottom customers,bottom_customers,display complete bottom customers,4
Please give overall customers.,customer_count,please give overall customers,8
Display latest category wise profit.,category_profit,display latest category wise profit,7
Show insights for profit by month.,monthly_profit,show insights for profit by month,14
View overall earnings.,total_profit,view overall earnings,28
Fetch average discount.,discount_analysis,fetch average discount,10
Display the region profit performance,region_profit,display the region profit performance,19
Display all highest performing region,best_region,display all highest performing region,2
I would like top cities.,top_cities,i would like top cities,25
Kindly compute the average profit.,average_profit,kindly compute the average profit,0
Kindly show the yearly profit.,yearly_profit,kindly show the yearly profit,31
Generate bottom products.,bottom_products,generate bottom products,5
I want business overview.,dashboard_summary,i want business overview,9
Display overall order count,order_count,display overall order count,16
Reveal all average net profit,average_profit,reveal all average net profit,0
Provide the shipping analysis.,shipping_analysis,provide the shipping analysis,24
Summarize best region.,best_region,summarize best region,2
Give complete lowest sales region.,worst_region,give complete lowest sales region,30
Summarize the top 10 customers.,top_customers,summarize the top 10 customers,26
Find average sales amount.,average_sales,find average sales amount,1
Display most profitable product,highest_profit_product,display most profitable product,11
Present profit growth.,profit_growth,present profit growth,17
Reveal total sales,total_sales,reveal total sales,29
Generate the business overview.,dashboard_summary,generate the business overview,9
Present worst sales region.,worst_region,present worst sales region,30
Give me the subcategory sales.,sales_by_subcategory,give me the subcategory sales,22
Show complete discount offered,discount_analysis,show complete discount offered,10
Please calculate dashboard summary.,dashboard_summary,please calculate dashboard summary,9
Fetch growth in profit.,profit_growth,fetch growth in profit,17
Can you show overall profit?,total_profit,can you show overall profit,28
Display overall dashboard,dashboard_summary,display overall dashboard,9
Can you show average income?,average_sales,can you show average income,1
Please display the average discount.,discount_analysis,please display the average discount,10
Create the executive summary,dashboard_summary,create the executive summary,9
Please reveal highest sales states.,top_states,please reveal highest sales states,27
Identify complete best customers,top_customers,identify complete best customers,26
Can you display order count?,order_count,can you display order count,16
Fetch sales increase.,sales_growth,fetch sales increase,23
Please find average gross profit.,average_profit,please find average gross profit,0
I need the overall sales.,total_sales,i need the overall sales,29
Tell me top customers.,top_customers,tell me top customers,26
Can you find the highest sales cities?,top_cities,can you find the highest sales cities,25
List the highest sales cities,top_cities,list the highest sales cities,25
Can I see the least profitable region?,worst_region,can i see the least profitable region,30
Could you provide the overall revenue?,total_sales,could you provide the overall revenue,29
How much is the inventory summary?,inventory_summary,how much is the inventory summary,12
Can you show average business profit?,average_profit,can you show average business profit,0
Find overall lowest sales region,worst_region,find overall lowest sales region,30
Reveal most valuable customers,top_customers,reveal most valuable customers,26
Please identify highest performing region.,best_region,please identify highest performing region,2
Can you calculate the average earnings?,average_profit,can you calculate the average earnings,0
Generate a report for shipping analysis.,shipping_analysis,generate a report for shipping analysis,24
Kindly create the business overview.,dashboard_summary,kindly create the business overview,9
Give bottom customers,bottom_customers,give bottom customers,4
Can you provide category wise sales?,sales_by_category,can you provide category wise sales,20
Can you provide the regional profit?,region_profit,can you provide the regional profit,19
Find overall discount.,discount_analysis,find overall discount,10
Find all profit across categories,category_profit,find all profit across categories,7
Reveal overall earnings,total_profit,reveal overall earnings,28
Could you identify the highest performing region?,best_region,could you identify the highest performing region,2
Reveal overall business profit,total_profit,reveal overall business profit,28
Can you find the shipping mode?,shipping_analysis,can you find the shipping mode,24
Find complete top states,top_states,find complete top states,27
I want the highest spending customers.,top_customers,i want the highest spending customers,26
Give complete profit average.,average_profit,give complete profit average,0
Provide the average turnover.,average_sales,provide the average turnover,1
Show insights for total customers.,customer_count,show insights for total customers,8
Please calculate the most profitable product.,highest_profit_product,please calculate the most profitable product,11
