question,intent
I want bottom products.,bottom_products
Show complete annual sales.,yearly_sales
Kindly view the average profit.,average_profit
Can you reveal the average turnover?,average_sales
Show the stock summary,inventory_summary
Visualize overall sales.,total_sales
Show latest least selling products.,bottom_products
View inventory overview.,inventory_summary
Could you list the best customers?,top_customers
Show insights for overall dashboard.,dashboard_summary
Compute complete average business profit,average_profit
Give complete customer segment sales.,sales_by_segment
I want the discount analysis.,discount_analysis
Give overall total revenue,total_sales
Reveal overall worst performing states,bottom_states
Can you list least selling products?,bottom_products
Reveal complete worst region,worst_region
Give complete overall sales.,total_sales
Generate a report for top selling states.,top_states
Inspect profit by category.,category_profit
I need the worst performing states.,bottom_states
Calculate annual revenue,yearly_sales
Generate a report for best customers.,top_customers
Provide the customer segment sales,sales_by_segment
Show me the annual profit.,yearly_profit
Show all category wise sales,sales_by_category
What is the sales increase?,sales_growth
Compute the average business profit,average_profit
Display latest worst performing cities.,bottom_cities
Can you show the lowest profit product?,lowest_profit_product
Calculate all monthly revenue,monthly_sales
Please display the worst performing cities.,bottom_cities
Provide the overall revenue,total_sales
Find complete sales across subcategories,sales_by_subcategory
Can you find business profit?,total_profit
Can I see the worst region?,worst_region
Show the highest profit product,highest_profit_product
I would like business profit.,total_profit
Plot grand total sales.,total_sales
How much is the number of customers?,customer_count
Kindly find the average business profit.,average_profit
Fetch the sales by month.,monthly_sales
Provide the best cities,top_cities
Provide detailed segment wise sales.,sales_by_segment
What is shipping analysis?,shipping_analysis
Provide overall sales across subcategories,sales_by_subcategory
Kindly show the bottom states.,bottom_states
Display sales across subcategories,sales_by_subcategory
Show complete sales increase.,sales_growth
Display the top selling cities,top_cities
Display inventory summary.,inventory_summary
Display the highest spending customers.,top_customers
Explain sales quantity.,quantity_analysis
Find lowest sales region.,worst_region
Show insights for business profit.,total_profit
Reveal the subcategory wise sales.,sales_by_subcategory
Compute all net profit,total_profit
Can I see best cities?,top_cities
I'd like to know profit across categories.,category_profit
Kindly display the worst performing cities.,bottom_cities
How much is the average income?,average_profit
Kindly give the least selling products.,bottom_products
I need the highest profit product.,highest_profit_product
Analyze the overall discount.,discount_analysis
What is business sales?,total_sales
Analyze profit by month,monthly_profit
Give detailed subcategory performance.,sales_by_subcategory
Plot total revenue.,total_sales
Provide the city performance.,top_cities
Display complete inventory summary.,inventory_summary
Tell me quantity analysis.,quantity_analysis
Review best cities.,top_cities
Find all profit by category,category_profit
Analyze the city performance.,top_cities
Present the year wise sales.,yearly_sales
Please provide sales for each category.,sales_by_category
Show insights for lowest spending customers.,bottom_customers
How much is the top states?,top_states
Analyze the profit by region.,region_profit
Can I see city performance?,bottom_cities
Kindly calculate the sales by year.,yearly_sales
Can you find the profit growth?,profit_growth
Plot stock summary.,inventory_summary
Calculate overall total quantity,quantity_analysis
Analyze grand total sales.,total_sales
Could you display the overall discount?,discount_analysis
Can you reveal the yearly sales?,yearly_sales
Can you show the sales for each category?,sales_by_category
Kindly tell me the overall sales.,total_sales
Can you give category sales?,sales_by_category
I'd like to know the inventory summary.,inventory_summary
Give the total profit,total_profit
I'd like to know the monthly business profit.,monthly_profit
View average earnings,average_profit
Can you show sales by segment?,sales_by_segment
Show complete overall customers.,customer_count
Provide complete average business profit,average_profit
View least valuable customers.,bottom_customers
Display overall top states,top_states
Display all sales across categories,sales_by_category
Plot yearly profit.,yearly_profit
Give me the sales across subcategories.,sales_by_subcategory
Display all sales by year,yearly_sales
What is the subcategory sales?,sales_by_subcategory
Fetch the discount percentage.,discount_analysis
Fetch annual earnings.,yearly_profit
Summarize the quantity analysis.,quantity_analysis
Kindly analyze the shipping mode.,shipping_analysis
Can you display average income?,average_profit
Analyze the sales across subcategories,sales_by_subcategory
Show me shipping performance.,shipping_analysis
Please provide net profit.,total_profit
Could you compute the net profit?,total_profit
Kindly find the average gross profit.,average_profit
Show complete monthly revenue,monthly_sales
Show bottom states,bottom_states
Review stock overview.,inventory_summary
Summarize the region wise profit.,region_profit
Analyze performance of monthly profit.,monthly_profit
I need the grand total profit.,total_profit
Could you display the overall dashboard?,dashboard_summary
Can you reveal average earnings?,average_profit
Show me the lowest sales states.,bottom_states
Kindly show the average income.,average_sales
Present the category profit.,category_profit
Find all shipping mode,shipping_analysis
Display overall overall discount,discount_analysis
Find category wise sales,sales_by_category
Provide all annual earnings,yearly_profit
Compare company profit.,total_profit
Please analyze total quantity.,quantity_analysis
Provide the total customers.,customer_count
Kindly show the regional profit.,region_profit
Provide the shipping performance.,shipping_analysis
Provide complete annual earnings,yearly_profit
Present region wise profit.,region_profit
Find overall total orders,order_count
Give me the average gross profit.,average_profit
Can you tell me the average income?,average_profit
How much is the profit average?,average_profit
Please provide shipping performance.,shipping_analysis
Please reveal month wise profit.,monthly_profit
Please reveal best performing states.,top_states
Show me the lowest sales region.,worst_region
Please find bottom 10 products.,bottom_products
I need worst performing cities.,bottom_cities
Reveal complete average sales,average_sales
Could you analyze the sales by segment?,sales_by_segment
Analyze the overall discount,discount_analysis
Calculate complete annual earnings,yearly_profit
Display ship mode analysis.,shipping_analysis
Provide all month wise sales,monthly_sales
Explain category sales.,sales_by_category
Display latest business profit.,total_profit
Can you display the yearly profit?,yearly_profit
Can you find the total profit?,total_profit
Calculate average earnings,average_profit
Show the top selling cities,top_cities
Can you find the profit increase?,profit_growth
Display all sales by segment,sales_by_segment
Analyze the top selling states.,top_states
Generate a report for segment wise sales.,sales_by_segment
Present shipping mode.,shipping_analysis
Display complete month wise sales.,monthly_sales
Tell me overall overall revenue,total_sales
Give me dashboard summary.,dashboard_summary
Show complete lowest sales region,worst_region
Kindly find the subcategory sales.,sales_by_subcategory
Summarize quantity analysis.,quantity_analysis
Display category wise profit.,category_profit
Can you give segment performance?,sales_by_segment
What is the total profit?,total_profit
Give detailed sales by year.,yearly_sales
Give detailed monthly earnings.,monthly_profit
Give complete average sales amount.,average_sales
Provide least profitable region,worst_region
Analyze complete overall discount,discount_analysis
Show overall product quantities,quantity_analysis
Can you provide the total customers?,customer_count
Show complete premium customers,top_customers
Can I see the top states?,top_states
Inspect best sales region.,best_region
Compare lowest spending customers.,bottom_customers
Please compare profit by category.,category_profit
Provide the top profit product,highest_profit_product
Can I see the sales quantity?,quantity_analysis
Could you give the best customers?,top_customers
Create a report for sales by segment.,sales_by_segment
I need worst products.,bottom_products
Show insights for best customers.,top_customers
View the profit trend.,profit_growth
I'd like the top selling states.,top_states
Compute the overall profit,total_profit
Give complete registered customers.,customer_count
Please give category wise sales.,sales_by_category
Show highest sales states,top_states
Generate a report for least popular products.,bottom_products
Show all category profit,category_profit
Give detailed subcategory wise sales.,sales_by_subcategory
Could you tell me the average business profit?,average_profit
Could you identify the bottom customers?,bottom_customers
Show insights for sales increase.,sales_growth
Kindly identify the inactive customers.,bottom_customers
View total profit,total_profit
I want the overall dashboard.,dashboard_summary
Kindly compare the sales across subcategories.,sales_by_subcategory
Show insights for subcategory performance.,sales_by_subcategory
Find all highest profit product,highest_profit_product
Analyze performance of sales across subcategories.,sales_by_subcategory
I want least profitable region.,worst_region
Provide complete profit average,average_profit
Fetch best performing states.,top_states
I want sales by year.,yearly_sales
Find complete least selling products,bottom_products
Identify complete most profitable product,highest_profit_product
Please display the month wise sales.,monthly_sales
Show all profit by region,region_profit
Display the profit growth,profit_growth
I'd like to know the business growth.,sales_growth
Reveal complete subcategory performance,sales_by_subcategory
Analyze complete year wise profit,yearly_profit
Find the category wise sales.,sales_by_category
Explain the discount offered.,discount_analysis
Could you generate the executive summary?,dashboard_summary
Provide all profit increase,profit_growth
Give me the least valuable customers.,bottom_customers
I would like bottom states.,bottom_states
Can you identify least valuable customers?,bottom_customers
Display annual sales,yearly_sales
Show insights for annual earnings.,yearly_profit
Provide annual profit,yearly_profit
Find overall category performance,sales_by_category
Provide grand total profit.,total_profit
Provide most profitable product.,highest_profit_product
Find overall most profitable region,best_region
Display complete bottom customers,bottom_customers
Please give overall customers.,customer_count
Display latest category wise profit.,category_profit
Show insights for profit by month.,monthly_profit
View overall earnings.,total_profit
Fetch average discount.,discount_analysis
Display the region profit performance,region_profit
Display all highest performing region,best_region
I would like top cities.,top_cities
Kindly compute the average profit.,average_profit
Kindly show the yearly profit.,yearly_profit
Generate bottom products.,bottom_products
I want business overview.,dashboard_summary
Display overall order count,order_count
Reveal all average net profit,average_profit
Provide the shipping analysis.,shipping_analysis
Summarize best region.,best_region
Give complete lowest sales region.,worst_region
Summarize the top 10 customers.,top_customers
Find average sales amount.,average_sales
Display most profitable product,highest_profit_product
Present profit growth.,profit_growth
Reveal total sales,total_sales
Generate the business overview.,dashboard_summary
Present worst sales region.,worst_region
Give me the subcategory sales.,sales_by_subcategory
Show complete discount offered,discount_analysis
Please calculate dashboard summary.,dashboard_summary
Fetch growth in profit.,profit_growth
Can you show overall profit?,total_profit
Display overall dashboard,dashboard_summary
Can you show average income?,average_sales
Please display the average discount.,discount_analysis
Create the executive summary,dashboard_summary
Please reveal highest sales states.,top_states
Identify complete best customers,top_customers
Can you display order count?,order_count
Fetch sales increase.,sales_growth
Please find average gross profit.,average_profit
I need the overall sales.,total_sales
Tell me top customers.,top_customers
Can you find the highest sales cities?,top_cities
List the highest sales cities,top_cities
Can I see the least profitable region?,worst_region
Could you provide the overall revenue?,total_sales
How much is the inventory summary?,inventory_summary
Can you show average business profit?,average_profit
Find overall lowest sales region,worst_region
Reveal most valuable customers,top_customers
Please identify highest performing region.,best_region
Can you calculate the average earnings?,average_profit
Generate a report for shipping analysis.,shipping_analysis
Kindly create the business overview.,dashboard_summary
Give bottom customers,bottom_customers
Can you provide category wise sales?,sales_by_category
Can you provide the regional profit?,region_profit
Find overall discount.,discount_analysis
Find all profit across categories,category_profit
Reveal overall earnings,total_profit
Could you identify the highest performing region?,best_region
Reveal overall business profit,total_profit
Can you find the shipping mode?,shipping_analysis
Find complete top states,top_states
I want the highest spending customers.,top_customers
Give complete profit average.,average_profit
Provide the average turnover.,average_sales
Show insights for total customers.,customer_count
Please calculate the most profitable product.,highest_profit_product
Kindly provide the sales by category.,sales_by_category
Can you list the bottom customers?,bottom_customers
Review top selling cities.,top_cities
Give detailed monthly profit.,monthly_profit
Find all category performance,sales_by_category
Please calculate lowest sales cities.,bottom_cities
Please provide average revenue.,average_sales
Please calculate sales by year.,yearly_sales
I want the total customer orders.,order_count
Display overall year wise profit,yearly_profit
Display all average business profit,average_profit
Display overall lowest sales states,bottom_states
Calculate overall total customer orders,order_count
Find average discount,discount_analysis
Provide all least profitable states,bottom_states
Can you compare segment sales?,sales_by_segment
I need least popular products.,bottom_products
Could you reveal the best cities?,top_cities
Find overall profit by category,category_profit
Kindly view the total profit.,total_profit
Provide overall dashboard summary,dashboard_summary
Reveal overall annual profit,yearly_profit
Provide all profit by category,category_profit
Please provide top cities.,top_cities
Display category sales,sales_by_category
Show the subcategory sales,sales_by_subcategory
Plot subcategory wise sales.,sales_by_subcategory
How much is customer segment sales?,sales_by_segment
Can you reveal top cities?,top_cities
Could you create the stock overview?,inventory_summary
Explain the average sales amount.,average_sales
Compute complete average business sales,average_sales
Summarize the region profit performance.,region_profit
Give complete premium customers.,top_customers
Find complete highest sales cities,top_cities
Analyze year wise sales.,yearly_sales
Calculate all annual earnings,yearly_profit
Kindly provide the category profit performance.,category_profit
Show insights for least profitable product.,lowest_profit_product
Can you display the annual revenue?,yearly_sales
Review average revenue.,average_sales
Analyze performance of top region.,best_region
Explain the segment performance.,sales_by_segment
How much is the worst sales region?,worst_region
Create all inventory overview,inventory_summary
Could you provide the lowest profit product?,lowest_profit_product
Can you compare the segment wise sales?,sales_by_segment
Display region wise profit,region_profit
Give detailed sales by subcategory.,sales_by_subcategory
Calculate the earnings growth,profit_growth
Can you reveal the average income?,average_profit
Can you show total orders?,order_count
Can you calculate the order count?,order_count
Can you tell me the net profit?,total_profit
Provide the inactive customers.,bottom_customers
What is the growth in sales?,sales_growth
Inspect lowest profit product.,lowest_profit_product
Can you find the sales quantity?,quantity_analysis
Give detailed growth in sales.,sales_growth
Fetch discount percentage.,discount_analysis
Could you analyze the business growth?,sales_growth
Display the profit by category.,category_profit
Provide all monthly earnings,monthly_profit
Find city performance,top_cities
Show overall sales by category,sales_by_category
Please give sales average.,average_sales
Generate a report for sales across subcategories.,sales_by_subcategory
Give me the total profit.,total_profit
Give overall lowest spending customers,bottom_customers
Can you find least selling products?,bottom_products
Can you analyze the shipping mode?,shipping_analysis
Give complete top customers,top_customers
Compute complete company profit,total_profit
Provide worst region.,worst_region
I would like delivery performance.,shipping_analysis
Please reveal average sales.,average_sales
Kindly reveal the category wise sales.,sales_by_category
Analyze the lowest sales region.,worst_region
Provide all overall orders,order_count
Find subcategory wise sales,sales_by_subcategory
Please display the total customers.,customer_count
List overall top customers,top_customers
Explain profit across regions.,region_profit
Find profit by region.,region_profit
I'd like the sales across subcategories.,sales_by_subcategory
Inspect month wise profit.,monthly_profit
Fetch worst products.,bottom_products
Tell me mean sales.,average_sales
I'd like to know the sales by segment.,sales_by_segment
Please calculate the sales by subcategory.,sales_by_subcategory
Analyze performance of mean profit.,average_profit
Please calculate monthly business sales.,monthly_sales
I want average discount.,discount_analysis
Provide lowest selling products.,bottom_products
Provide all region profit performance,region_profit
Show complete top states.,top_states
Provide detailed sales by month.,monthly_sales
Identify overall lowest spending customers,bottom_customers
Please identify bottom 10 products.,bottom_products
Summarize the best sales region.,best_region
Display complete total sales.,total_sales
I need the highest performing region.,best_region
Show overall average business profit,average_profit
Could you calculate the month wise sales?,monthly_sales
Fetch overall sales.,total_sales
View the grand total sales.,total_sales
Could you reveal the year wise sales?,yearly_sales
Visualize mean profit.,average_profit
Please display the city performance.,bottom_cities
Display complete annual earnings.,yearly_profit
What is category performance?,sales_by_category
Display latest earnings growth.,profit_growth
Show all overall sales,total_sales
View average income.,average_sales
Calculate the number of customers,customer_count
Create dashboard for profit by month.,monthly_profit
Tell me shipping performance.,shipping_analysis
Display all sales quantity,quantity_analysis
How much is the worst products?,bottom_products
Display monthly business sales.,monthly_sales
Could you analyze the category profit?,category_profit
Kindly tell me the total earnings.,total_profit
Find quantity analysis.,quantity_analysis
Kindly provide the category sales.,sales_by_category
Show the region wise profit,region_profit
Tell me overall grand total sales,total_sales
Explain the sales by category.,sales_by_category
Give executive summary,dashboard_summary
Can you find the earnings growth?,profit_growth
Find best sales region,best_region
Provide complete order count,order_count
Display the business summary.,dashboard_summary
Give me best cities.,top_cities
Reveal overall revenue,total_sales
Display the annual earnings.,yearly_profit
Show insights for category profit performance.,category_profit
Can you calculate monthly earnings?,monthly_profit
Generate subcategory sales.,sales_by_subcategory
Can you show average discount?,discount_analysis
Calculate all number of orders,order_count
Could you view the average sales?,average_sales
Present the best performing states.,top_states
Explain bottom cities.,bottom_cities
Kindly show the top states.,top_states
Provide all total customers,customer_count
Can you reveal the premium customers?,top_customers
Could you show the stock summary?,inventory_summary
Display complete total customer orders.,order_count
Please list least selling products.,bottom_products
Kindly list the top selling cities.,top_cities
Could you display the segment performance?,sales_by_segment
List city performance,top_cities
Can you display the earnings growth?,profit_growth
Reveal overall worst products,bottom_products
Show insights for category profit.,category_profit
Can you give the total earnings?,total_profit
Explain the year wise sales.,yearly_sales
Kindly calculate the average turnover.,average_sales
Can you list the bottom 10 products?,bottom_products
Find the bottom 10 products,bottom_products
Reveal monthly profit.,monthly_profit
Give me inventory report.,inventory_summary
Explain highest profit product.,highest_profit_product
Provide detailed profit growth.,profit_growth
View all mean profit,average_profit
Provide mean profit,average_profit
Give detailed best performing states.,top_states
List the premium customers,top_customers
I'd like to know the mean profit.,average_profit
Present the subcategory wise sales.,sales_by_subcategory
Find the grand total sales,total_sales
Provide complete highest profit product,highest_profit_product
Provide overall lowest earning product,lowest_profit_product
Please identify lowest earning product.,lowest_profit_product
Analyze overall subcategory performance,sales_by_subcategory
Reveal all top cities,top_cities
Tell me total customers.,customer_count
Please give average business sales.,average_sales
Summarize the business growth.,sales_growth
Fetch profit trend.,profit_growth
Display latest inventory summary.,inventory_summary
Generate the earnings growth.,profit_growth
Give average revenue,average_sales
Show the sales by subcategory,sales_by_subcategory
Kindly show the sales by year.,yearly_sales
I'd like the inventory summary.,inventory_summary
Kindly find the total customers.,customer_count
Show complete top selling states,top_states
Show me average earnings.,average_profit
How much is the dashboard summary?,dashboard_summary
Show profit average,average_profit
Can you give total revenue?,total_sales
Present average discount.,discount_analysis
Display overall shipping analysis,shipping_analysis
Can you identify the least popular products?,bottom_products
I'd like the customer segment sales.,sales_by_segment
View the sales trend.,sales_growth
Show the segment wise sales,sales_by_segment
Find earnings growth.,profit_growth
Inspect monthly profit.,monthly_profit
Summarize highest sales states.,top_states
Generate a report for average income.,average_sales
Tell me business profit,total_profit
Compute overall average sales,average_sales
Please find most profitable region.,best_region
Display the ship mode analysis,shipping_analysis
Show latest regional profit.,region_profit
Compare complete region wise profit,region_profit
Reveal shipping performance.,shipping_analysis
Show complete bottom states.,bottom_states
Analyze total quantity.,quantity_analysis
What is lowest selling products?,bottom_products
Please find sales by category.,sales_by_category
I need subcategory performance.,sales_by_subcategory
Can you identify the most valuable customers?,top_customers
Could you show the best sales region?,best_region
Can you display stock summary?,inventory_summary
Could you reveal the top selling states?,top_states
Find monthly business profit.,monthly_profit
Compare category performance,sales_by_category
Please analyze annual earnings.,yearly_profit
Please view average net profit.,average_profit
Kindly give the category sales.,sales_by_category
Find overall city performance,bottom_cities
What is the sales across categories?,sales_by_category
Kindly display the business overview.,dashboard_summary
Can you show the shipping mode?,shipping_analysis
I need inventory summary.,inventory_summary
Give complete year wise profit.,yearly_profit
Analyze overall sales.,total_sales
Display complete total revenue,total_sales
Give detailed sales across subcategories.,sales_by_subcategory
Provide the sales average.,average_sales
Find top selling cities.,top_cities
Please analyze monthly business profit.,monthly_profit
Provide least profitable product.,lowest_profit_product
I would like profit increase.,profit_growth
Analyze the average sales.,average_sales
Analyze stock summary.,inventory_summary
Kindly generate the dashboard summary.,dashboard_summary
Show latest sales increase.,sales_growth
Show the inactive customers,bottom_customers
Show insights for highest sales cities.,top_cities
Kindly provide the annual profit.,yearly_profit
Can you calculate the profit trend?,profit_growth
Generate a report for bottom products.,bottom_products
Identify overall bottom products,bottom_products
Review top profit product.,highest_profit_product
Display all inventory overview,inventory_summary
Show me the average earnings.,average_profit
Kindly view the mean sales.,average_sales
Plot average earnings.,average_profit
Could you find the worst products?,bottom_products
Fetch the average gross profit.,average_profit
Summarize sales trend.,sales_growth
Can you display the sales by segment?,sales_by_segment
Display complete sales across categories.,sales_by_category
Please compare category profit performance.,category_profit
Kindly reveal the subcategory performance.,sales_by_subcategory
Can you analyze profit growth?,profit_growth
Present inventory report.,inventory_summary
Analyze sales by month,monthly_sales
Please show business profit.,total_profit
Find the bottom states.,bottom_states
Can you show the subcategory sales?,sales_by_subcategory
Show insights for customer segment sales.,sales_by_segment
Show all average sales amount,average_sales
How much is shipping analysis?,shipping_analysis
Give overall sales for each category,sales_by_category
Find top 10 customers.,top_customers
Show overall discount percentage,discount_analysis
How much is the month wise profit?,monthly_profit
Analyze performance of bottom 10 products.,bottom_products
Generate the most valuable customers.,top_customers
Compare sales by category,sales_by_category
Provide highest profit product,highest_profit_product
Can you provide order count?,order_count
Display total profit,total_profit
Please display sales by month.,monthly_sales
Please create inventory report.,inventory_summary
Can you find the number of customers?,customer_count
Show latest average turnover.,average_sales
Analyze the overall sales.,total_sales
Could you display the company profit?,total_profit
Kindly give the sales by subcategory.,sales_by_subcategory
Can you provide inventory overview?,inventory_summary
Can you compare the segment sales?,sales_by_segment
Reveal region wise profit,region_profit
View registered customers.,customer_count
Show me the most valuable customers.,top_customers
I'd like to know the sales for each category.,sales_by_category
Please calculate category wise sales.,sales_by_category
Present the bottom customers.,bottom_customers
Give detailed least valuable customers.,bottom_customers
Give all overall earnings,total_profit
Provide mean sales.,average_sales
Show all number of orders,order_count
Show me the average profit.,average_profit
Reveal complete highest profit product,highest_profit_product
Create dashboard for inventory summary.,inventory_summary
Reveal all net profit,total_profit
Present stock overview.,inventory_summary
Kindly provide the top selling states.,top_states
Can you give the average net profit?,average_profit
Please identify best region.,best_region
Display complete quantity analysis.,quantity_analysis
Summarize the category performance.,sales_by_category
View quantity sold.,quantity_analysis
Calculate the total profit,total_profit
Provide overall worst region,worst_region
Can you reveal mean sales?,average_sales
I want the growth in profit.,profit_growth
Could you show the delivery performance?,shipping_analysis
Display all subcategory wise sales,sales_by_subcategory
Inspect worst region.,worst_region
Provide top profit product,highest_profit_product
Find all business growth,sales_growth
Tell me sales by category.,sales_by_category
Display complete inventory report,inventory_summary
Please show shipping performance.,shipping_analysis
Could you list the bottom products?,bottom_products
Summarize the top region.,best_region
Could you analyze the total quantity?,quantity_analysis
I'd like to know the highest spending customers.,top_customers
Provide all average net profit,average_profit
Display complete lowest performing region,worst_region
Can you reveal the inactive customers?,bottom_customers
Show all subcategory sales,sales_by_subcategory
Show me the average income.,average_profit
