question,intent,clean_question
Provide category performance.,sales_by_category,provide category performance
Summarize top cities.,top_cities,summarize top cities
How much is the sales by category?,sales_by_category,how much is the sales by category
Find the most valuable customers.,top_customers,find the most valuable customers
Present top cities.,top_cities,present top cities
Provide executive summary.,dashboard_summary,provide executive summary
Display all average turnover,average_sales,display all average turnover
Summarize highest sales cities.,top_cities,summarize highest sales cities
View the mean profit.,average_profit,view the mean profit
What is the shipping mode?,shipping_analysis,what is the shipping mode
Please calculate segment wise sales.,sales_by_segment,please calculate segment wise sales
Show the regional profit,region_profit,show the regional profit
View complete average income,average_sales,view complete average income
Can you find profit by region?,region_profit,can you find profit by region
Give complete company profit.,total_profit,give complete company profit
Display latest top customers.,top_customers,display latest top customers
Analyze all sales by segment,sales_by_segment,analyze all sales by segment
Can you provide the most profitable product?,highest_profit_product,can you provide the most profitable product
I need the sales trend.,sales_growth,i need the sales trend
Analyze the profit growth.,profit_growth,analyze the profit growth
Fetch the number of orders.,order_count,fetch the number of orders
Display overall growth in profit,profit_growth,display overall growth in profit
Fetch monthly sales.,monthly_sales,fetch monthly sales
Display product quantities.,quantity_analysis,display product quantities
Find worst products.,bottom_products,find worst products
I want dashboard summary.,dashboard_summary,i want dashboard summary
Can you find category profit?,category_profit,can you find category profit
Show complete profit average.,average_profit,show complete profit average
Find all best customers,top_customers,find all best customers
Compare all sales by subcategory,sales_by_subcategory,compare all sales by subcategory
Could you give the sales by category?,sales_by_category,could you give the sales by category
Give detailed segment wise sales.,sales_by_segment,give detailed segment wise sales
Can you find total customer orders?,order_count,can you find total customer orders
Create a report for average revenue.,average_sales,create a report for average revenue
Please analyze profit increase.,profit_growth,please analyze profit increase
Can you find the bottom 10 products?,bottom_products,can you find the bottom 10 products
Can you show month wise profit?,monthly_profit,can you show month wise profit
Can you compare category wise profit?,category_profit,can you compare category wise profit
Please calculate the most valuable customers.,top_customers,please calculate the most valuable customers
Calculate all registered customers,customer_count,calculate all registered customers
Could you display the monthly business sales?,monthly_sales,could you display the monthly business sales
Analyze all segment sales,sales_by_segment,analyze all segment sales
Can you display lowest earning product?,lowest_profit_product,can you display lowest earning product
I would like best performing states.,top_states,i would like best performing states
Tell me regional profit.,region_profit,tell me regional profit
Show number of customers,customer_count,show number of customers
Can you show subcategory performance?,sales_by_subcategory,can you show subcategory performance
Provide detailed best customers.,top_customers,provide detailed best customers
Fetch the sales across subcategories.,sales_by_subcategory,fetch the sales across subcategories
Provide the most valuable customers.,top_customers,provide the most valuable customers
Provide the best cities.,top_cities,provide the best cities
Give me registered customers.,customer_count,give me registered customers
Display the best sales region.,best_region,display the best sales region
How much is shipping mode?,shipping_analysis,how much is shipping mode
Provide lowest performing region.,worst_region,provide lowest performing region
Give detailed average net profit.,average_profit,give detailed average net profit
What is business overview?,dashboard_summary,what is business overview
Could you provide the monthly earnings?,monthly_profit,could you provide the monthly earnings
What is sales by month?,monthly_sales,what is sales by month
Please display sales by subcategory.,sales_by_subcategory,please display sales by subcategory
Reveal complete average income,average_sales,reveal complete average income
Display all ship mode analysis,shipping_analysis,display all ship mode analysis
Reveal the dashboard summary.,dashboard_summary,reveal the dashboard summary
Provide number of orders.,order_count,provide number of orders
How much is the business growth?,sales_growth,how much is the business growth
Summarize the profit by year.,yearly_profit,summarize the profit by year
Give overall lowest selling products,bottom_products,give overall lowest selling products
Calculate complete yearly profit,yearly_profit,calculate complete yearly profit
Can you provide the lowest sales region?,worst_region,can you provide the lowest sales region
Generate the overall customers.,customer_count,generate the overall customers
Find overall sales.,total_sales,find overall sales
Can you analyze the region profit performance?,region_profit,can you analyze the region profit performance
Show me the profit by year.,yearly_profit,show me the profit by year
Can you find the grand total profit?,total_profit,can you find the grand total profit
Fetch the stock summary.,inventory_summary,fetch the stock summary
Reveal all year wise sales,yearly_sales,reveal all year wise sales
Display complete average income.,average_profit,display complete average income
Please display customer count.,customer_count,please display customer count
Please create executive summary.,dashboard_summary,please create executive summary
I'd like to know the overall revenue.,total_sales,id like to know the overall revenue
Find sales by category.,sales_by_category,find sales by category
Reveal the delivery performance.,shipping_analysis,reveal the delivery performance
Please reveal average gross profit.,average_profit,please reveal average gross profit
Could you reveal the top customers?,top_customers,could you reveal the top customers
Can you list highest spending customers?,top_customers,can you list highest spending customers
Can you compare the sales by subcategory?,sales_by_subcategory,can you compare the sales by subcategory
Generate the monthly sales.,monthly_sales,generate the monthly sales
Tell me all average gross profit,average_profit,tell me all average gross profit
Please display the lowest sales states.,bottom_states,please display the lowest sales states
Kindly provide the sales increase.,sales_growth,kindly provide the sales increase
Can you give stock overview?,inventory_summary,can you give stock overview
I need the annual revenue.,yearly_sales,i need the annual revenue
Explain the discount percentage.,discount_analysis,explain the discount percentage
Calculate annual profit,yearly_profit,calculate annual profit
Analyze performance of shipping mode.,shipping_analysis,analyze performance of shipping mode
Please display region profit performance.,region_profit,please display region profit performance
Analyze performance of sales trend.,sales_growth,analyze performance of sales trend
Provide all highest sales cities,top_cities,provide all highest sales cities
Please give sales for each category.,sales_by_category,please give sales for each category
Kindly show the lowest profit product.,lowest_profit_product,kindly show the lowest profit product
Give detailed total quantity.,quantity_analysis,give detailed total quantity
Can you provide the monthly earnings?,monthly_profit,can you provide the monthly earnings
Tell me region profit performance.,region_profit,tell me region profit performance
Kindly show the region wise profit.,region_profit,kindly show the region wise profit
I'd like to know the bottom 10 products.,bottom_products,id like to know the bottom 10 products
Provide complete mean profit,average_profit,provide complete mean profit
Can you analyze the sales trend?,sales_growth,can you analyze the sales trend
I want bottom products.,bottom_products,i want bottom products
Show complete annual sales.,yearly_sales,show complete annual sales
Kindly view the average profit.,average_profit,kindly view the average profit
Can you reveal the average turnover?,average_sales,can you reveal the average turnover
Show the stock summary,inventory_summary,show the stock summary
Visualize overall sales.,total_sales,visualize overall sales
Show latest least selling products.,bottom_products,show latest least selling products
View inventory overview.,inventory_summary,view inventory overview
Could you list the best customers?,top_customers,could you list the best customers
Show insights for overall dashboard.,dashboard_summary,show insights for overall dashboard
Compute complete average business profit,average_profit,compute complete average business profit
Give complete customer segment sales.,sales_by_segment,give complete customer segment sales
I want the discount analysis.,discount_analysis,i want the discount analysis
Give overall total revenue,total_sales,give overall total revenue
Reveal overall worst performing states,bottom_states,reveal overall worst performing states
Can you list least selling products?,bottom_products,can you list least selling products
Reveal complete worst region,worst_region,reveal complete worst region
Give complete overall sales.,total_sales,give complete overall sales
Generate a report for top selling states.,top_states,generate a report for top selling states
Inspect profit by category.,category_profit,inspect profit by category
I need the worst performing states.,bottom_states,i need the worst performing states
Calculate annual revenue,yearly_sales,calculate annual revenue
Generate a report for best customers.,top_customers,generate a report for best customers
Provide the customer segment sales,sales_by_segment,provide the customer segment sales
Show me the annual profit.,yearly_profit,show me the annual profit
Show all category wise sales,sales_by_category,show all category wise sales
What is the sales increase?,sales_growth,what is the sales increase
Compute the average business profit,average_profit,compute the average business profit
Display latest worst performing cities.,bottom_cities,display latest worst performing cities
Can you show the lowest profit product?,lowest_profit_product,can you show the lowest profit product
Calculate all monthly revenue,monthly_sales,calculate all monthly revenue
Please display the worst performing cities.,bottom_cities,please display the worst performing cities
Provide the overall revenue,total_sales,provide the overall revenue
Find complete sales across subcategories,sales_by_subcategory,find complete sales across subcategories
Can you find business profit?,total_profit,can you find business profit
Can I see the worst region?,worst_region,can i see the worst region
Show the highest profit product,highest_profit_product,show the highest profit product
I would like business profit.,total_profit,i would like business profit
Plot grand total sales.,total_sales,plot grand total sales
How much is the number of customers?,customer_count,how much is the number of customers
Kindly find the average business profit.,average_profit,kindly find the average business profit
Fetch the sales by month.,monthly_sales,fetch the sales by month
Provide the best cities,top_cities,provide the best cities
Provide detailed segment wise sales.,sales_by_segment,provide detailed segment wise sales
What is shipping analysis?,shipping_analysis,what is shipping analysis
Provide overall sales across subcategories,sales_by_subcategory,provide overall sales across subcategories
Kindly show the bottom states.,bottom_states,kindly show the bottom states
Display sales across subcategories,sales_by_subcategory,display sales across subcategories
Show complete sales increase.,sales_growth,show complete sales increase
Display the top selling cities,top_cities,display the top selling cities
Display inventory summary.,inventory_summary,display inventory summary
Display the highest spending customers.,top_customers,display the highest spending customers
Explain sales quantity.,quantity_analysis,explain sales quantity
Find lowest sales region.,worst_region,find lowest sales region
Show insights for business profit.,total_profit,show insights for business profit
Reveal the subcategory wise sales.,sales_by_subcategory,reveal the subcategory wise sales
Compute all net profit,total_profit,compute all net profit
Can I see best cities?,top_cities,can i see best cities
I'd like to know profit across categories.,category_profit,id like to know profit across categories
Kindly display the worst performing cities.,bottom_cities,kindly display the worst performing cities
How much is the average income?,average_profit,how much is the average income
Kindly give the least selling products.,bottom_products,kindly give the least selling products
I need the highest profit product.,highest_profit_product,i need the highest profit product
Analyze the overall discount.,discount_analysis,analyze the overall discount
What is business sales?,total_sales,what is business sales
Analyze profit by month,monthly_profit,analyze profit by month
Give detailed subcategory performance.,sales_by_subcategory,give detailed subcategory performance
Plot total revenue.,total_sales,plot total revenue
Provide the city performance.,top_cities,provide the city performance
Display complete inventory summary.,inventory_summary,display complete inventory summary
Tell me quantity analysis.,quantity_analysis,tell me quantity analysis
Review best cities.,top_cities,review best cities
Find all profit by category,category_profit,find all profit by category
Analyze the city performance.,top_cities,analyze the city performance
Present the year wise sales.,yearly_sales,present the year wise sales
Please provide sales for each category.,sales_by_category,please provide sales for each category
Show insights for lowest spending customers.,bottom_customers,show insights for lowest spending customers
How much is the top states?,top_states,how much is the top states
Analyze the profit by region.,region_profit,analyze the profit by region
Can I see city performance?,bottom_cities,can i see city performance
Kindly calculate the sales by year.,yearly_sales,kindly calculate the sales by year
Can you find the profit growth?,profit_growth,can you find the profit growth
Plot stock summary.,inventory_summary,plot stock summary
Calculate overall total quantity,quantity_analysis,calculate overall total quantity
Analyze grand total sales.,total_sales,analyze grand total sales
Could you display the overall discount?,discount_analysis,could you display the overall discount
Can you reveal the yearly sales?,yearly_sales,can you reveal the yearly sales
Can you show the sales for each category?,sales_by_category,can you show the sales for each category
Kindly tell me the overall sales.,total_sales,kindly tell me the overall sales
Can you give category sales?,sales_by_category,can you give category sales
I'd like to know the inventory summary.,inventory_summary,id like to know the inventory summary
Give the total profit,total_profit,give the total profit
I'd like to know the monthly business profit.,monthly_profit,id like to know the monthly business profit
View average earnings,average_profit,view average earnings
Can you show sales by segment?,sales_by_segment,can you show sales by segment
Show complete overall customers.,customer_count,show complete overall customers
Provide complete average business profit,average_profit,provide complete average business profit
View least valuable customers.,bottom_customers,view least valuable customers
Display overall top states,top_states,display overall top states
Display all sales across categories,sales_by_category,display all sales across categories
Plot yearly profit.,yearly_profit,plot yearly profit
Give me the sales across subcategories.,sales_by_subcategory,give me the sales across subcategories
Display all sales by year,yearly_sales,display all sales by year
What is the subcategory sales?,sales_by_subcategory,what is the subcategory sales
Fetch the discount percentage.,discount_analysis,fetch the discount percentage
Fetch annual earnings.,yearly_profit,fetch annual earnings
Summarize the quantity analysis.,quantity_analysis,summarize the quantity analysis
Kindly analyze the shipping mode.,shipping_analysis,kindly analyze the shipping mode
Can you display average income?,average_profit,can you display average income
Analyze the sales across subcategories,sales_by_subcategory,analyze the sales across subcategories
Show me shipping performance.,shipping_analysis,show me shipping performance
Please provide net profit.,total_profit,please provide net profit
Could you compute the net profit?,total_profit,could you compute the net profit
Kindly find the average gross profit.,average_profit,kindly find the average gross profit
Show complete monthly revenue,monthly_sales,show complete monthly revenue
Show bottom states,bottom_states,show bottom states
Review stock overview.,inventory_summary,review stock overview
Summarize the region wise profit.,region_profit,summarize the region wise profit
Analyze performance of monthly profit.,monthly_profit,analyze performance of monthly profit
I need the grand total profit.,total_profit,i need the grand total profit
Could you display the overall dashboard?,dashboard_summary,could you display the overall dashboard
Can you reveal average earnings?,average_profit,can you reveal average earnings
Show me the lowest sales states.,bottom_states,show me the lowest sales states
Kindly show the average income.,average_sales,kindly show the average income
Present the category profit.,category_profit,present the category profit
Find all shipping mode,shipping_analysis,find all shipping mode
Display overall overall discount,discount_analysis,display overall overall discount
Find category wise sales,sales_by_category,find category wise sales
Provide all annual earnings,yearly_profit,provide all annual earnings
Compare company profit.,total_profit,compare company profit
Please analyze total quantity.,quantity_analysis,please analyze total quantity
Provide the total customers.,customer_count,provide the total customers
Kindly show the regional profit.,region_profit,kindly show the regional profit
Provide the shipping performance.,shipping_analysis,provide the shipping performance
Provide complete annual earnings,yearly_profit,provide complete annual earnings
Present region wise profit.,region_profit,present region wise profit
Find overall total orders,order_count,find overall total orders
Give me the average gross profit.,average_profit,give me the average gross profit
Can you tell me the average income?,average_profit,can you tell me the average income
How much is the profit average?,average_profit,how much is the profit average
Please provide shipping performance.,shipping_analysis,please provide shipping performance
Please reveal month wise profit.,monthly_profit,please reveal month wise profit
Please reveal best performing states.,top_states,please reveal best performing states
Show me the lowest sales region.,worst_region,show me the lowest sales region
Please find bottom 10 products.,bottom_products,please find bottom 10 products
I need worst performing cities.,bottom_cities,i need worst performing cities
Reveal complete average sales,average_sales,reveal complete average sales
Could you analyze the sales by segment?,sales_by_segment,could you analyze the sales by segment
Analyze the overall discount,discount_analysis,analyze the overall discount
Calculate complete annual earnings,yearly_profit,calculate complete annual earnings
Display ship mode analysis.,shipping_analysis,display ship mode analysis
Provide all month wise sales,monthly_sales,provide all month wise sales
Explain category sales.,sales_by_category,explain category sales
Display latest business profit.,total_profit,display latest business profit
Can you display the yearly profit?,yearly_profit,can you display the yearly profit
Can you find the total profit?,total_profit,can you find the total profit
Calculate average earnings,average_profit,calculate average earnings
Show the top selling cities,top_cities,show the top selling cities
Can you find the profit increase?,profit_growth,can you find the profit increase
Display all sales by segment,sales_by_segment,display all sales by segment
Analyze the top selling states.,top_states,analyze the top selling states
Generate a report for segment wise sales.,sales_by_segment,generate a report for segment wise sales
Present shipping mode.,shipping_analysis,present shipping mode
Display complete month wise sales.,monthly_sales,display complete month wise sales
Tell me overall overall revenue,total_sales,tell me overall overall revenue
Give me dashboard summary.,dashboard_summary,give me dashboard summary
Show complete lowest sales region,worst_region,show complete lowest sales region
Kindly find the subcategory sales.,sales_by_subcategory,kindly find the subcategory sales
Summarize quantity analysis.,quantity_analysis,summarize quantity analysis
Display category wise profit.,category_profit,display category wise profit
Can you give segment performance?,sales_by_segment,can you give segment performance
What is the total profit?,total_profit,what is the total profit
Give detailed sales by year.,yearly_sales,give detailed sales by year
Give detailed monthly earnings.,monthly_profit,give detailed monthly earnings
Give complete average sales amount.,average_sales,give complete average sales amount
Provide least profitable region,worst_region,provide least profitable region
Analyze complete overall discount,discount_analysis,analyze complete overall discount
Show overall product quantities,quantity_analysis,show overall product quantities
Can you provide the total customers?,customer_count,can you provide the total customers
Show complete premium customers,top_customers,show complete premium customers
Can I see the top states?,top_states,can i see the top states
Inspect best sales region.,best_region,inspect best sales region
Compare lowest spending customers.,bottom_customers,compare lowest spending customers
Please compare profit by category.,category_profit,please compare profit by category
Provide the top profit product,highest_profit_product,provide the top profit product
Can I see the sales quantity?,quantity_analysis,can i see the sales quantity
Could you give the best customers?,top_customers,could you give the best customers
Create a report for sales by segment.,sales_by_segment,create a report for sales by segment
I need worst products.,bottom_products,i need worst products
Show insights for best customers.,top_customers,show insights for best customers
View the profit trend.,profit_growth,view the profit trend
I'd like the top selling states.,top_states,id like the top selling states
Compute the overall profit,total_profit,compute the overall profit
Give complete registered customers.,customer_count,give complete registered customers
Please give category wise sales.,sales_by_category,please give category wise sales
Show highest sales states,top_states,show highest sales states
Generate a report for least popular products.,bottom_products,generate a report for least popular products
Show all category profit,category_profit,show all category profit
Give detailed subcategory wise sales.,sales_by_subcategory,give detailed subcategory wise sales
Could you tell me the average business profit?,average_profit,could you tell me the average business profit
Could you identify the bottom customers?,bottom_customers,could you identify the bottom customers
Show insights for sales increase.,sales_growth,show insights for sales increase
Kindly identify the inactive customers.,bottom_customers,kindly identify the inactive customers
View total profit,total_profit,view total profit
I want the overall dashboard.,dashboard_summary,i want the overall dashboard
Kindly compare the sales across subcategories.,sales_by_subcategory,kindly compare the sales across subcategories
Show insights for subcategory performance.,sales_by_subcategory,show insights for subcategory performance
Find all highest profit product,highest_profit_product,find all highest profit product
Analyze performance of sales across subcategories.,sales_by_subcategory,analyze performance of sales across subcategories
I want least profitable region.,worst_region,i want least profitable region
Provide complete profit average,average_profit,provide complete profit average
Fetch best performing states.,top_states,fetch best performing states
I want sales by year.,yearly_sales,i want sales by year
Find complete least selling products,bottom_products,find complete least selling products
Identify complete most profitable product,highest_profit_product,identify complete most profitable product
Please display the month wise sales.,monthly_sales,please display the month wise sales
Show all profit by region,region_profit,show all profit by region
Display the profit growth,profit_growth,display the profit growth
I'd like to know the business growth.,sales_growth,id like to know the business growth
Reveal complete subcategory performance,sales_by_subcategory,reveal complete subcategory performance
Analyze complete year wise profit,yearly_profit,analyze complete year wise profit
Find the category wise sales.,sales_by_category,find the category wise sales
Explain the discount offered.,discount_analysis,explain the discount offered
Could you generate the executive summary?,dashboard_summary,could you generate the executive summary
Provide all profit increase,profit_growth,provide all profit increase
Give me the least valuable customers.,bottom_customers,give me the least valuable customers
I would like bottom states.,bottom_states,i would like bottom states
Can you identify least valuable customers?,bottom_customers,can you identify least valuable customers
Display annual sales,yearly_sales,display annual sales
Show insights for annual earnings.,yearly_profit,show insights for annual earnings
Provide annual profit,yearly_profit,provide annual profit
Find overall category performance,sales_by_category,find overall category performance
Provide grand total profit.,total_profit,provide grand total profit
Provide most profitable product.,highest_profit_product,provide most profitable product
Find overall most profitable region,best_region,find overall most profitable region
Display complete bottom customers,bottom_customers,display complete bottom customers
Please give overall customers.,customer_count,please give overall customers
Display latest category wise profit.,category_profit,display latest category wise profit
Show insights for profit by month.,monthly_profit,show insights for profit by month
View overall earnings.,total_profit,view overall earnings
Fetch average discount.,discount_analysis,fetch average discount
Display the region profit performance,region_profit,display the region profit performance
Display all highest performing region,best_region,display all highest performing region
I would like top cities.,top_cities,i would like top cities
Kindly compute the average profit.,average_profit,kindly compute the average profit
Kindly show the yearly profit.,yearly_profit,kindly show the yearly profit
Generate bottom products.,bottom_products,generate bottom products
I want business overview.,dashboard_summary,i want business overview
Display overall order count,order_count,display overall order count
Reveal all average net profit,average_profit,reveal all average net profit
Provide the shipping analysis.,shipping_analysis,provide the shipping analysis
Summarize best region.,best_region,summarize best region
Give complete lowest sales region.,worst_region,give complete lowest sales region
Summarize the top 10 customers.,top_customers,summarize the top 10 customers
Find average sales amount.,average_sales,find average sales amount
Display most profitable product,highest_profit_product,display most profitable product
Present profit growth.,profit_growth,present profit growth
Reveal total sales,total_sales,reveal total sales
Generate the business overview.,dashboard_summary,generate the business overview
Present worst sales region.,worst_region,present worst sales region
Give me the subcategory sales.,sales_by_subcategory,give me the subcategory sales
Show complete discount offered,discount_analysis,show complete discount offered
Please calculate dashboard summary.,dashboard_summary,please calculate dashboard summary
Fetch growth in profit.,profit_growth,fetch growth in profit
Can you show overall profit?,total_profit,can you show overall profit
Display overall dashboard,dashboard_summary,display overall dashboard
Can you show average income?,average_sales,can you show average income
Please display the average discount.,discount_analysis,please display the average discount
Create the executive summary,dashboard_summary,create the executive summary
Please reveal highest sales states.,top_states,please reveal highest sales states
Identify complete best customers,top_customers,identify complete best customers
Can you display order count?,order_count,can you display order count
Fetch sales increase.,sales_growth,fetch sales increase
Please find average gross profit.,average_profit,please find average gross profit
I need the overall sales.,total_sales,i need the overall sales
Tell me top customers.,top_customers,tell me top customers
Can you find the highest sales cities?,top_cities,can you find the highest sales cities
List the highest sales cities,top_cities,list the highest sales cities
Can I see the least profitable region?,worst_region,can i see the least profitable region
Could you provide the overall revenue?,total_sales,could you provide the overall revenue
How much is the inventory summary?,inventory_summary,how much is the inventory summary
Can you show average business profit?,average_profit,can you show average business profit
Find overall lowest sales region,worst_region,find overall lowest sales region
Reveal most valuable customers,top_customers,reveal most valuable customers
Please identify highest performing region.,best_region,please identify highest performing region
Can you calculate the average earnings?,average_profit,can you calculate the average earnings
Generate a report for shipping analysis.,shipping_analysis,generate a report for shipping analysis
Kindly create the business overview.,dashboard_summary,kindly create the business overview
Give bottom customers,bottom_customers,give bottom customers
Can you provide category wise sales?,sales_by_category,can you provide category wise sales
Can you provide the regional profit?,region_profit,can you provide the regional profit
Find overall discount.,discount_analysis,find overall discount
Find all profit across categories,category_profit,find all profit across categories
Reveal overall earnings,total_profit,reveal overall earnings
Could you identify the highest performing region?,best_region,could you identify the highest performing region
Reveal overall business profit,total_profit,reveal overall business profit
Can you find the shipping mode?,shipping_analysis,can you find the shipping mode
Find complete top states,top_states,find complete top states
I want the highest spending customers.,top_customers,i want the highest spending customers
Give complete profit average.,average_profit,give complete profit average
Provide the average turnover.,average_sales,provide the average turnover
Show insights for total customers.,customer_count,show insights for total customers
Please calculate the most profitable product.,highest_profit_product,please calculate the most profitable product
Kindly provide the sales by category.,sales_by_category,kindly provide the sales by category
Can you list the bottom customers?,bottom_customers,can you list the bottom customers
Review top selling cities.,top_cities,review top selling cities
Give detailed monthly profit.,monthly_profit,give detailed monthly profit
Find all category performance,sales_by_category,find all category performance
Please calculate lowest sales cities.,bottom_cities,please calculate lowest sales cities
Please provide average revenue.,average_sales,please provide average revenue
Please calculate sales by year.,yearly_sales,please calculate sales by year
I want the total customer orders.,order_count,i want the total customer orders
Display overall year wise profit,yearly_profit,display overall year wise profit
Display all average business profit,average_profit,display all average business profit
Display overall lowest sales states,bottom_states,display overall lowest sales states
Calculate overall total customer orders,order_count,calculate overall total customer orders
Find average discount,discount_analysis,find average discount
Provide all least profitable states,bottom_states,provide all least profitable states
Can you compare segment sales?,sales_by_segment,can you compare segment sales
I need least popular products.,bottom_products,i need least popular products
Could you reveal the best cities?,top_cities,could you reveal the best cities
Find overall profit by category,category_profit,find overall profit by category
Kindly view the total profit.,total_profit,kindly view the total profit
Provide overall dashboard summary,dashboard_summary,provide overall dashboard summary
Reveal overall annual profit,yearly_profit,reveal overall annual profit
Provide all profit by category,category_profit,provide all profit by category
Please provide top cities.,top_cities,please provide top cities
Display category sales,sales_by_category,display category sales
Show the subcategory sales,sales_by_subcategory,show the subcategory sales
Plot subcategory wise sales.,sales_by_subcategory,plot subcategory wise sales
How much is customer segment sales?,sales_by_segment,how much is customer segment sales
Can you reveal top cities?,top_cities,can you reveal top cities
Could you create the stock overview?,inventory_summary,could you create the stock overview
Explain the average sales amount.,average_sales,explain the average sales amount
Compute complete average business sales,average_sales,compute complete average business sales
Summarize the region profit performance.,region_profit,summarize the region profit performance
Give complete premium customers.,top_customers,give complete premium customers
Find complete highest sales cities,top_cities,find complete highest sales cities
Analyze year wise sales.,yearly_sales,analyze year wise sales
Calculate all annual earnings,yearly_profit,calculate all annual earnings
Kindly provide the category profit performance.,category_profit,kindly provide the category profit performance
Show insights for least profitable product.,lowest_profit_product,show insights for least profitable product
